	full_text	actual	predicted
0	@lcvelez Las elecciones deberían estar suspendidas hasta tanto no nos den garantías con un nuevo registrador. Colombia y aparece Nicaragua o Venezuela forzados a aceptar elecciones chambonas para beneficiar a @petrogustavo	negative	positive
1	fallas que encontró  @PGN_COL en elecciones a Congreso https://t.co/6dpBhQIKtW y a pesar de todo los aliados de Petro.. Tibisay Lucena C @CNE_COLOMBIA @Doris_MendezC son tan descarados en afirmar que Las elecciones de congreso fueron transparentes , nos van a robar de nuevo	negative	positive
4	@Fercho10615798 Ya la justicia bien justa de Colombia nego la destitución del Registrador así q ojo en las elecciones	negative	positive
5	@RevistaSemana El tema es que quién lo dice, es el mayor delincuente de la historia de Colombia, ¿Cómo le van a robar elecciones al líder de la corrupción en Colombia?	negative	positive
6	"#ColombiaDecide | Petro sobre arremetida de Clan del Golfo: “Quien mataron en Sucre es militante del Pacto Histórico”. 

El candidato habló al respecto durante acto de campaña en Valledupar https://t.co/o16oE6dF2C"	negative	positive
7	"#QuienRespondePor
Queman carro de @UNALOficial Universidad Nacional en Santa Fe de Antioquia. El @COL_EJERCITO y la @PoliciaColombia Se escondieron no Actúan Parece ser el excenario para una Guerra Civil y así evitar Elecciones Presidenciales en Colombia @bbcmundo https://t.co/SWEo3DvigS"	negative	positive
11	Se han robado las elecciones del congreso !! @PGN_COL @CGR_Colombia @DELAESPRIELLAE  @FiscaliaCol y no va a pasar nada ???	negative	positive
12	¡Es indignante lo que ocurre en Colombia! Estamos ante un fraude electoral y nuestro registrador sigue en el cargo. #ElRiesgoEs no repetir las elecciones y tener un Congreso ilegítimo. https://t.co/lxMRgs9kPo	negative	positive
13	"A pocos días de las elecciones presidenciales
las Autodefensas Gaitanistas de Colombia se declaran en Paro Armado hasta el 9 de mayo. El claro desinterés social del Gobierno actual, evidenciado en la permisión de hostigamiento contra los Colombianos."	negative	positive
15	@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Porque tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea. Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países @lafm @lcvelez @rcnradio	negative	positive
16	@AlvaroUribeVel El creador del paramilitarismo en Colombia es usted señor , además quien debe garantizar la seguridad es la marioneta que puso de presidente, ahora como van perdidos en las elecciones porque el inútil de Fico les salió peor que Duque, toca sacar el truco llenar de terror	negative	positive
19	@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Para que elecciones si el Registrador Va A ponerle Votos  Al hampon del petró hipócritas.	negative	positive
23	@alfonsoeljach @alcaldiabarranc @EnLineaBarranca @vanguardiacom @Enlace_TV @Telepetroleo @Yariguies1027 @CanalTRO @CaracolBga @BLUSantanderes @RCNBga Populismo punitivo y preciso antes de las de las elecciones, siempre la misma película en #Colombia	negative	positive
24	¡TOMA NOTA! La violencia del conflicto armado en Colombia resurge antes de las elecciones https://t.co/fPOo1FeIyz	negative	positive
25	@NTN24ve pobre colombia, tan ignorante como lo fue venezuela en diversas elecciones..	negative	positive
26	Que mierda que los favoritos a ganar las elecciones tengan todos escándalos de corrupcion XDD ay mi Colombia	negative	positive
27	"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. ???? parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 

¿Conmoción Interior?...."	negative	positive
