id	full_text	sentiment	emotion
1	@IvanDuque Sus socios de las AGC tienen este platanal vuelto mierda, pero no haces nada, usted inservible, ha logrado la peor inflación en Colombia y solo pública maricadas sin sentido, se robó las elecciones para entregar el país, valiente idiota tenemos de presidente.	negative	anger
2	"@AlvaroUribeVel Ellos también celebran por que Maduro PetroGustavo Ivan Cepeda Timo Teodora Bobolivar entre muchos más sufren  de insomnio.
Uribe Velez Alvarito no los deja dormir
El enemigo para las elecciones no es Fico.... Sino el Excelentísimo y más Grande Presidente que ha tenido Colombia"	negative	anger
3	"@PDleh @cokycafe @PGN_COL En Colombia existen miles de leyes para controlar los funcionarios públicos pero a la hora de aplicarlas ""se les olvida que existen"". ¿Que más pruebas quieren? ¿Porque avalan unas elecciones, las del 13 de marzo, donde pado de todo lo que no debía de pasar? Escuchamos  respuestas"	negative	anger
4	Petro ahora es el Capitán América o mejor dicho el Capitán Colombia de ganar las elecciones. No soltara el escudo ni para dormir ?? https://t.co/k56Dv7id1J	negative	joy
5	"#OtraPregunta 
""Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia""...
Esto no pinta nada bien... y si además gana Lula en Brasil...
¿Esto como que va para largo? https://t.co/wpQsl5KoRe"	negative	fear
6	Así como estamos en Colombia no pueden haber elecciones, primero toca proteger el país de los narcoterroristas donde se tiene que empezar por fumigar para acabar con la coca y los narcoasesinos terroristas, las elecciones no serían prioridad hasta que no renuncie el registrador	negative	anger
7	Por fin lo dijo: Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia https://t.co/x6tAhI8K0f	negative	anger
8	El izquierdista Gustavo Petro lidera encuestas de cara a las presidenciales en Colombia https://t.co/tpk8aLcoE3 via @France24_es	negative	joy
9	@Margaritarosadf Nos llevó el putas, aunque aquí en Colombia también estamos en guerra y como seguramente Petro gana las elecciones vamos a estar peor y sobra decir por obra de quién	negative	sadness
10	@Manuel_more17 Es increíble todo lo que pasa en Colombia por una simples elecciones	negative	fear
11	La cuenta regresiva para las elecciones presidenciales de Colombia se encuentra en su recta final, y el candidato que cuenta de acuerdo a la encuestas con mayor intención de votos es Gustavo Petro #7May https://t.co/JVyQw3MCv7	positive	joy
12	Paloma Valencia rechaza que la Registraduría y el CNE sean quienes contraten la auditoría en las elecciones https://t.co/AJDHCBt0X5	negative	joy
13	"A caso en Colombia hay Procuraduría? O si existe está sin cabeza? Las elecciones al Congreso fueron un fraude, hay que anularlas y repetirlas; hay que cerrar el CNE y sacar a todos en la Registraduría, la mayoría para una CARCEL https://t.co/wSfZAJfJcX"	negative	anger
14	"La semana que pasó en Colombia estuvo marcada por la violencia. No es un momento cualquiera: faltan apenas tres semanas para las elecciones en las que Gustavo Petro puede consagrarse como presidente.

@Marco_Teruggi te lo cuenta en ??#CrisisEnElAire ??

https://t.co/HZK4j0f8St https://t.co/eAQZ5wsOHH"	negative	anger
15	"Si cometió crímenes los hizo en Colombia, que pague acá cómo van a poner el pueblo de cabezas por las bobadas de un gobierno corrupto, y a pocos días de elecciones presidenciales.
Ahora sí van a joder más el pueblo colombiano"	negative	anger
16	"Rodolfo Hernández: “Fajardo como que ya pasó a la historia”. 
https://t.co/TNKkWRoArj

#Elecciones2022 #ColombiaDecide https://t.co/Nsxju7udkn"	neutral	joy
17	"@CarlosA77174284 @lafm @Registraduria @CCongresoCol @PGN_COL @MinInterior Creo que estamos cerca muy cerca a una confrontación civil en Colombia....

Estas elecciones estarán viciadas y se viene lo peor xa este país.
Hay muchos intereses pagos a este bandido ""Registrador""."	negative	anger
18	Que tristeza que @PGN_COL @FiscaliaCol @RamaJudicialCol @MinInterior NO puedan sacar a  mag @CNE_COLOMBIA Alexander Vega @Registraduria y estén sometidos a un delincuente @petrogustavo, #Colombia merece explicación bodrio elecciones y candidato que se alia con mafias y narcos.	negative	sadness
19	"@_RoqueCastro No se procupen. Existe la alternativa que aplicaron el 19 de abril de 1970 cuando le robaron las elecciones a Gustavo Rojas Pinilla y el ""establecimiento"" colombiano crea el M-19, Movimiento 19 de Abril. @ejdecena 
https://t.co/fvxvtCKznD"	negative	anger
20	@IvanDuque Quien  da vía libre a paramilitares para sitiar a Colombia y y afectar elecciones @ONUHumanRights @MisionONUCol @Declaracion @RIDH_INHR @CorteIDH @OACNUDH https://t.co/fZ2yFvjIwY	negative	fear
